route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
2,0102030405,2_1_10,Direction Deux-Montagnes,1,2_1
2,0102030405,2_3_10,Direction Roxboro-Pierrefonds,1,2_3
2,0102030405,2_1_11,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_11,Direction Montréal,0,2_2
2,0102030405,2_1_12,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_12,Direction Montréal,0,2_2
2,0102030405,2_1_13,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_13,Direction Montréal,0,2_2
2,0102030405,2_1_14,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_14,Direction Montréal,0,2_2
2,0102030405,2_1_15,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_15,Direction Montréal,0,2_2
2,0102030405,2_1_16,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_16,Direction Montréal,0,2_2
2,0102030405,2_1_17,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_17,Direction Montréal,0,2_2
2,0102030405,2_1_18,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_18,Direction Montréal,0,2_2
2,0102030405,2_1_19,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_19,Direction Montréal,0,2_2
2,0102030405,2_1_20,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_20,Direction Montréal,0,2_2
2,0102030405,2_1_21,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_21,Direction Montréal,0,2_2
2,0102030405,2_1_22,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_22,Direction Montréal,0,2_2
2,0102030405,2_1_23,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_23,Direction Montréal,0,2_2
2,0102030405,2_1_24,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_24,Direction Montréal,0,2_2
2,0102030405,2_2_25,Direction Montréal,0,2_2
2,06,2_1_25,Direction Deux-Montagnes,1,2_1
2,06,2_1_26,Direction Deux-Montagnes,1,2_1
2,06,2_2_26,Direction Montréal,0,2_2
2,06,2_1_27,Direction Deux-Montagnes,1,2_1
2,06,2_2_27,Direction Montréal,0,2_2
2,06,2_1_28,Direction Deux-Montagnes,1,2_1
2,06,2_2_28,Direction Montréal,0,2_2
2,06,2_1_29,Direction Deux-Montagnes,1,2_1
2,06,2_2_29,Direction Montréal,0,2_2
2,06,2_1_30,Direction Deux-Montagnes,1,2_1
2,06,2_2_30,Direction Montréal,0,2_2
2,06,2_1_31,Direction Deux-Montagnes,1,2_1
2,06,2_2_31,Direction Montréal,0,2_2
2,06,2_1_32,Direction Deux-Montagnes,1,2_1
2,06,2_2_32,Direction Montréal,0,2_2
2,06,2_1_33,Direction Deux-Montagnes,1,2_1
2,06,2_2_33,Direction Montréal,0,2_2
2,06,2_1_34,Direction Deux-Montagnes,1,2_1
2,06,2_2_34,Direction Montréal,0,2_2
2,06,2_1_35,Direction Deux-Montagnes,1,2_1
2,06,2_2_35,Direction Montréal,0,2_2
2,06,2_2_36,Direction Montréal,0,2_2
2,07,2_1_36,Direction Deux-Montagnes,1,2_1
2,07,2_1_37,Direction Deux-Montagnes,1,2_1
2,07,2_2_37,Direction Montréal,0,2_2
2,07,2_1_38,Direction Deux-Montagnes,1,2_1
2,07,2_2_38,Direction Montréal,0,2_2
2,07,2_1_39,Direction Deux-Montagnes,1,2_1
2,07,2_2_39,Direction Montréal,0,2_2
2,07,2_1_40,Direction Deux-Montagnes,1,2_1
2,07,2_2_40,Direction Montréal,0,2_2
2,07,2_1_41,Direction Deux-Montagnes,1,2_1
2,07,2_2_41,Direction Montréal,0,2_2
2,07,2_2_42,Direction Montréal,0,2_2
3,0102030405,3_1_1,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_1,Direction Montréal,0,3_2
3,0102030405,3_1_2,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_2,Direction Montréal,0,3_2
3,0102030405,3_1_3,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_3,Direction Montréal,0,3_2
3,0102030405,3_1_4,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_4,Direction Montréal,0,3_2
3,0102030405,3_1_5,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_5,Direction Montréal,0,3_2
3,0102030405,3_1_6,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_6,Direction Montréal,0,3_2
3,0102030405,3_1_7,Direction Mont-Saint-Hilaire,1,3_1
3,0102030405,3_2_7,Direction Montréal,0,3_2
4,0102030405,4_1_1,Direction Blainville,1,4_1
4,0102030405,4_5_1,Direction Sainte-Thérèse,1,4_5
4,0102030405,4_6_1,Direction Montréal,0,4_6
4,0102030405,4_7_1,Direction Saint-Jérôme,1,4_7
4,0102030405,4_8_1,Direction Montréal,0,4_8
4,0102030405,4_4_2,Direction Montréal,0,4_4
4,0102030405,4_7_2,Direction Saint-Jérôme,1,4_7
4,0102030405,4_8_2,Direction Montréal,0,4_8
4,0102030405,4_1_3,Direction Blainville,1,4_1
4,0102030405,4_4_3,Direction Montréal,0,4_4
4,0102030405,4_7_3,Direction Saint-Jérôme,1,4_7
4,0102030405,4_8_3,Direction Montréal,0,4_8
4,0102030405,4_1_4,Direction Blainville,1,4_1
4,0102030405,4_7_4,Direction Saint-Jérôme,1,4_7
4,0102030405,4_1_5,Direction Blainville,1,4_1
4,0102030405,4_2_5,Direction Montréal,0,4_2
4,0102030405,4_2_6,Direction Montréal,0,4_2
4,0102030405,4_3_6,Direction Blainville,1,4_3
4,0102030405,4_2_7,Direction Montréal,0,4_2
4,0102030405,4_2_8,Direction Montréal,0,4_2
5,0102030405,5_1_1,Direction Candiac,1,5_1
5,0102030405,5_2_1,Direction Montréal,0,5_2
5,0102030405,5_1_2,Direction Candiac,1,5_1
5,0102030405,5_2_2,Direction Montréal,0,5_2
5,0102030405,5_1_3,Direction Candiac,1,5_1
5,0102030405,5_2_3,Direction Montréal,0,5_2
5,0102030405,5_1_4,Direction Candiac,1,5_1
5,0102030405,5_2_4,Direction Montréal,0,5_2
5,0102030405,5_1_5,Direction Candiac,1,5_1
5,0102030405,5_2_5,Direction Montréal,0,5_2
5,0102030405,5_1_6,Direction Candiac,1,5_1
5,0102030405,5_2_6,Direction Montréal,0,5_2
5,0102030405,5_1_7,Direction Candiac,1,5_1
5,0102030405,5_2_7,Direction Montréal,0,5_2
5,0102030405,5_1_8,Direction Candiac,1,5_1
5,0102030405,5_2_8,Direction Montréal,0,5_2
5,0102030405,5_1_9,Direction Candiac,1,5_1
5,0102030405,5_2_9,Direction Montréal,0,5_2
1,08,1_10_18,Direction Montréal,0,1_10
1,08,1_10_19,Direction Montréal,0,1_10
1,08,1_10_20,Direction Montréal,0,1_10
1,08,1_9_19,Direction Vaudreuil,1,1_9
1,08,1_9_20,Direction Vaudreuil,1,1_9
1,08,1_9_21,Direction Vaudreuil,1,1_9
2,08,2_2_43,Direction Montréal,0,2_2
2,08,2_2_44,Direction Montréal,0,2_2
2,08,2_2_45,Direction Montréal,0,2_2
2,08,2_2_46,Direction Montréal,0,2_2
2,08,2_2_47,Direction Montréal,0,2_2
2,08,2_2_48,Direction Montréal,0,2_2
2,08,2_2_49,Direction Montréal,0,2_2
2,08,2_2_50,Direction Montréal,0,2_2
2,08,2_2_51,Direction Montréal,0,2_2
2,08,2_2_52,Direction Montréal,0,2_2
2,08,2_2_53,Direction Montréal,0,2_2
2,08,2_1_42,Direction Deux-Montagnes,1,2_1
2,08,2_1_43,Direction Deux-Montagnes,1,2_1
2,08,2_1_44,Direction Deux-Montagnes,1,2_1
2,08,2_1_45,Direction Deux-Montagnes,1,2_1
2,08,2_1_46,Direction Deux-Montagnes,1,2_1
2,08,2_1_47,Direction Deux-Montagnes,1,2_1
2,08,2_1_48,Direction Deux-Montagnes,1,2_1
2,08,2_1_49,Direction Deux-Montagnes,1,2_1
2,08,2_1_50,Direction Deux-Montagnes,1,2_1
2,08,2_1_51,Direction Deux-Montagnes,1,2_1
2,08,2_1_52,Direction Deux-Montagnes,1,2_1
